Index,Date,Temperature
747,1837-04-01,7.1
748,1837-05-01,10.2
749,1837-06-01,14.2
750,1837-07-01,13.9
751,1837-08-01,17.3
752,1837-09-01,10.7
753,1837-10-01,7.4
754,1837-11-01,2.8
755,1837-12-01,-0.7
756,1838-01-01,-6.4
757,1838-02-01,-3.7
758,1838-03-01,2.9
759,1838-04-01,5.9
760,1838-05-01,12.1
761,1838-06-01,14.5
762,1838-07-01,15.4
763,1838-08-01,14.2
764,1838-09-01,12.9
765,1838-10-01,7.1
766,1838-11-01,3.0
767,1838-12-01,-0.4
768,1839-01-01,-0.3
769,1839-02-01,1.3
770,1839-03-01,1.7
771,1839-04-01,4.6
772,1839-05-01,10.9
773,1839-06-01,16.4
774,1839-07-01,17.1
775,1839-08-01,14.4
776,1839-09-01,13.3
777,1839-10-01,9.3
778,1839-11-01,5.2
779,1839-12-01,1.0
780,1840-01-01,-1.7
781,1840-02-01,-0.4
782,1840-03-01,-0.1
783,1840-04-01,7.8
784,1840-05-01,11.3
785,1840-06-01,14.4
786,1840-07-01,15.1
787,1840-08-01,14.7
788,1840-09-01,12.7
789,1840-10-01,6.3
790,1840-11-01,5.6
791,1840-12-01,-7.6
792,1841-01-01,-0.9
793,1841-02-01,-3.4
794,1841-03-01,4.2
795,1841-04-01,9.3
796,1841-05-01,14.7
797,1841-06-01,14.4
798,1841-07-01,15.7
799,1841-08-01,15.2
800,1841-09-01,13.3
801,1841-10-01,10.4
802,1841-11-01,3.9
803,1841-12-01,2.7
804,1842-01-01,-4.3
805,1842-02-01,-4.2
806,1842-03-01,4.2
807,1842-04-01,6.4
808,1842-05-01,12.4
809,1842-06-01,15.0
810,1842-07-01,16.0
811,1842-08-01,17.7
812,1842-09-01,12.5
813,1842-10-01,5.7
814,1842-11-01,2.0
815,1842-12-01,1.5
816,1843-01-01,0.7
817,1843-02-01,4.6
818,1843-03-01,2.0
819,1843-04-01,7.6
820,1843-05-01,10.7
821,1843-06-01,12.7
822,1843-07-01,15.2
823,1843-08-01,15.6
824,1843-09-01,11.4
825,1843-10-01,7.8
826,1843-11-01,3.2
827,1843-12-01,2.9
828,1844-01-01,-1.5
829,1844-02-01,-0.5
830,1844-03-01,2.4
831,1844-04-01,8.4
832,1844-05-01,11.8
833,1844-06-01,15.3
834,1844-07-01,14.5
835,1844-08-01,13.9
836,1844-09-01,12.8
837,1844-10-01,9.3
838,1844-11-01,5.0
839,1844-12-01,-3.3
840,1845-01-01,0.6
841,1845-02-01,-2.7
842,1845-03-01,-0.6
843,1845-04-01,8.5
844,1845-05-01,10.2
845,1845-06-01,16.0
846,1845-07-01,16.7
847,1845-08-01,14.3
848,1845-09-01,11.4
849,1845-10-01,8.8
850,1845-11-01,4.4
851,1845-12-01,2.4
852,1846-01-01,0.8
853,1846-02-01,2.5
854,1846-03-01,5.4
855,1846-04-01,9.1
856,1846-05-01,12.6
857,1846-06-01,16.0
858,1846-07-01,17.6
859,1846-08-01,16.9
860,1846-09-01,13.3
861,1846-10-01,10.7
